REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
413283;00000000413283;AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP;;Odontologia de Grupo;ALAMEDA GRAJAÚ;60;SALA 2814;ALPHAVILLE INDUSTRIAL;Barueri;SP;6454050;1;168135656;168135656;aespodonto@aespodonto.com.br;CARLOS EUGENIO PORTO BRAGA;ADMINISTRADOR;4;07/03/2001
417424;00000000417424;AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA;AFFIX BENEFÍCIOS;Administradora de Benefícios;Alameda Santos;2441;Conjuntos 41 e 42, 4º andar, Sala admini;Cerqueira César;São Paulo;SP;1419101;11;39952217;;pedro.rezende@affixbeneficios.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;SóCIO ADMINISTRADOR;1;16/07/2010
368920;00000000368920;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;;Autogestão;AVENIDA PURDUE;S/N;;CAMPUS DA UFV;Viçosa;MG;36570900;31;38996550;38996550;institucional@agros.org.br;CLAUDIO FURTADO SOARES;DIRETOR PRESIDENTE;4;18/12/1998
424285;00000000424285;AIRES OPERADORA DE SAUDE LTDA;AIRES OPERADORA DE SAUDE ;Medicina de Grupo;AVENIDA PRESIDENTE KENNEDY;1001.0;BLOCO D;PEIXINHOS;Olinda;PE;53230971;81;992463135;;jjppcc@gmail.com;JOSE PEREIRA DA COSTA;ADMINISTRADOR;;16/12/2024
417742;00000000417742;ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS;;Administradora de Benefícios;AVENIDA RIO BRANCO;131;10ª ANDAR - PARTE;CENTRO;Rio de Janeiro;RJ;21040006;21;25054500;;RODRIGO.PEIXOTO@ALACORO.COM.BR;ANADIA BIENHACHEWSKI FERREIRA ALVES;DIRETORA PRESIDENTE;6;20/12/2010
421928;00000000421928;ALICE OPERADORA LTDA.;ALICE;Medicina de Grupo;Avenida Rebouças ;3535;;Pinheiros;São Paulo;SP;5401400;11;41186896;;regulatorio@alice.com.br;MATHEUS HERMSDORFF MORAES;Diretor;4;01/11/2019
417289;00000000417289;ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA;;Administradora de Benefícios;ALAMEDA SANTOS;1357;2º e 7º ANDAR;JARDIM PAULISTA;São Paulo;SP;1419908;11;30039499;;ans@allcare.com.br;FARIAS PEREIRA DE SOUZA;DIRETOR PRESIDENTE;1;14/05/2010
417459;00000000417459;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE;Administradora de Benefícios;SCS QD. 03 BLOCO A;LOTE;107/111;ASA SUL;Brasília;DF;70303907;61;30443600;30443615;ans@allcare.com.br;FARIAS PEREIRA DE SOUSA ;DIRETOR PRESIDENTE;1;16/07/2010
515;00000000000515;ALLIANZ SAÚDE S/A;;Seguradora Especializada em Saúde;RUA EUGÊNIO DE MEDEIROS;303;7º ANDAR - PARTE;PINHEIROS;São Paulo;SP;5425000;11;40015060;;compliance@allianz.com.br;SHEILA AMENDOLA PANICA;DIRETORA;4;06/08/2001
423262;00000000423262;ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA;ALMA ODONTO;Odontologia de Grupo;RUA REGENTE FEIJO;712.0;SALA 93 EDIF JOAO PUPO;CENTRO;Campinas;SP;13013050;19;31994536;;financeiro@almaodonto.com.br;RONYSON RODRIGUES RAMOS DE OLIVEIRA;SÓCIO ADMINISTRADOR;;30/05/2022
419982;00000000419982;ALPHA DENTAL PLANO DE SAUDE LTDA ME;DENTALMED;Odontologia de Grupo;RUA DAS GRAVIOLAS;383;SALA 02;SETOR COMERCIAL ;Sinop;MT;78550136;;;;financeiro@dentalmednorte.com.br;IVAN DALL` STELLA COSTA JÚNIOR;ADMINISTRADOR;5;09/12/2015
420255;00000000420255;ALTER ADMINISTRADORA DE BENEFICIOS S.A.;;Administradora de Benefícios;Alameda Santos;2441;4º andar, cjs 41 e 42, sala 01;Cerqueira César;São Paulo;SP;1419101;11;39952217;;dpo@alter.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;ADMINISTRADOR;5;25/10/2016
418773;00000000418773;ALUVES ADMINISTRADORA DE  BENEFICIOS LTDA;ALUVES BENEFICIOS;Administradora de Benefícios;AVENIDA DAS AMERICAS;500;BLOCO 4 SALA 313;BARRA DA TIJUCA;Rio de Janeiro;RJ;22640100;21;35531692;;leonardo@unimedicasaude.com;LEANDRO DA SILVEIRA SANTOS;SÓCIO-ADMINISTRADOR;6;11/01/2013
344800;00000000344800;ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;ALVORECER;Medicina de Grupo;ALAMEDA SANTOS;1827;11 ANDAR SALA 111;CERQUEIRA CESAR;São Paulo;SP;1419909;;;;regulatorio@bluemedsaude.com.br;RICARDO GUIMARÃES DE QUEIROZ;DIRETOR PRESIDENTE;4;15/01/1999
424234;00000000424234;AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA;AMAZIL   ;Medicina de Grupo;ESTRADA DO TINDIBA;1630;;TAQUARA;Rio de Janeiro;RJ;22740362;21;999434833;;leonardo@unimedicasaude.com;RODRIGO BARBOSA VILHENA ;SÓCIO REPRESENTANTE;;02/12/2024
419052;00000000419052;AMAZÔNIA PLANOS DE SAÚDE LTDA;PLANO AMAZÔNIA SAÚDE;Medicina de Grupo;TRAVESSA NOVE DE JANEIRO;1295;;SÃO BRAZ;Belém;PA;66060575;91;31847650;32495686;amasaude@amazoniaplanos.com.br;GILBERTO OSAMU YAMAMOTO;REPRESENTANTE LEGAL;6;03/10/2013
423351;00000000423351;AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;VIVA VIDA;Medicina de Grupo;AVENIDA CALAMA;2715;SALA 2715C;LIBERDADE ;Porto Velho;RO;76803883;69;93324444;;financeiro@operadoravivavida.com.br;ROMILDA VIANA DE PAES;SOCIO - ADMINISTRADOR;;03/10/2022
304531;00000000304531;AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;AME-SISTEMA DE SAÚDE 24 HORAS;Medicina de Grupo;RUA SAMPAIO;376;;CENTRO;Juiz de Fora;MG;36010360;32;21015600;32155201;amesaude24h@terra.com.br;REGINA MARIA AGUIAR DE SOUZA FELLET;DIRETORA ADMINISTRATIVA E FINANCEIRA;6;22/12/1998
413330;00000000413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA;Medicina de Grupo;RUA ARAGUAIA;13;;JACAREPAGUA;Rio de Janeiro;RJ;22745270;21;39104000;;amep.operadora@uol.com.br;ANA MARLI VIDEIRA PEIXOTO FAZZINI;SOCIA GERENTE;4;16/03/2001
394734;00000000394734;AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA;AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.;Medicina de Grupo;RUA UBATU MIRIM;45;3º ANDAR;VILA GEA;São Paulo;SP;4692010;11;33219700;;diretoria.financeira@ameplansaude.com.br;ALI HUSSEIN  IBRAHIN TAHA;SÓCIO DIRETOR;2;24/12/1998
401081;00000000401081;AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;GRUPO CEMERU SAÚDE;Medicina de Grupo;RUA VIÚVA DANTAS;720;;CAMPO GRANDE;Rio de Janeiro;RJ;23052090;21;24140013;;relacionamento.ans@cemeru.com;MAURO GOMES DIAS ;REPRESENTANTE;4;24/02/1999
418587;00000000418587;AMHA SAUDE S/A;AMHA SAUDE S/A;Medicina de Grupo;RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO;141;1º ANDAR;VILA SANTISTA;Atibaia;SP;12941030;;;;protocolodejur@amha.com.br;JOSE JAIR JAMES DE ARRUDA PINTO;DIRETOR ;5;08/10/2012
421731;00000000421731;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;AMHE MED;Medicina de Grupo;RUA PEDRO JOSÉ SENGER;230;;VILA HARO;Sorocaba;SP;18015000;15;30351030;;juridico@amhemed.com.br;MARCIO ALVES;Representante Perante ANS;6;13/06/2019
326305;00000000326305;AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;AMIL;Medicina de Grupo;Avenida Doutor Chucri Zaidan ;S/ Nº;6º, 7º, 8º ,9º, 16º, 20º e 23º  andares ;VILA FRANCISCO;São Paulo;SP;4711130;21;38054491;38051088;representanteans@amil.com.br;ALEXANDRE GINO CAMARGO ZORNIG;REPRESENTANTE LEGAL;1;17/12/1998
325465;00000000325465;AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;AMPARA ;Medicina de Grupo;PÇ COMENDADOR JOÃO PIO FIGUEIREDO WESTIN;107;;MOCOQUINHA;São Sebastião do Paraíso;MG;37957148;35;35393636;35393600;ampara@ampara.com.br;FLAVIO BERNARDES GONCALVES;DIRETOR PRESIDENTE;5;21/12/1998
422720;00000000422720;AMPLA PLANOS DE SAUDE LTDA;AMPLA  ;Medicina de Grupo;Av. Nilo Peçanha;50;Grupo 2501;CENTRO;Rio de Janeiro;RJ;20020906;21;39235406;;sidney.junior@amplasaude.com;SIDNEY STORCH DUTRA JUNIOR;SOCIO - ADMINISTRADOR;4;06/04/2021
423858;00000000423858;AMPLITUDE PLANOS DE SAUDE LTDA ;ON MED SAÚDE VYDA;Medicina de Grupo;RUA ITUIUTABA;340;2º ANDAR, SALA 218-PARTE;PRADO;Belo Horizonte;MG;30411023;31;39235406;;amaral.diego@gmail.com;KLEBER SHIMOMUKAY;SOCIO ADMINISTRADOR ;6;14/11/2023
424277;00000000424277;AMÉLIA OPERADORA DE PLANOS DE SAUDE S/A.;;Medicina de Grupo;AVENIDA RIO BRANCO;1;SALA 1605;CENTRO ;Rio de Janeiro;RJ;20090907;;;;leonardo@unimedicasaude.com;PEDRO HENRIQUE DOS SANTOS LIMA;REPRESENTANTE JUNTO À ANS;;13/01/2025
423319;00000000423319;ANAFE SAUDE;ANAFE SAUDE;Autogestão;QUADRA 02 LOTE 03 1º ANDAR PARTE ;9.0;JARDIM DA BARRAGEM I;JARDIM DA BARRAGEM I;Águas Lindas de Goiás;GO;72920004;;;;financeiro@anafesaude.com.br;FLAVIO MURILO PINTO SIVINI;DIRETOR- PRESIDENTE;;26/08/2022
421871;00000000421871;ANGELI SISTEMAS DE SAUDE S.A.;;Medicina de Grupo;RODOVIA DO CAQUI;1150;SALA PRÓXIMA AO PRONTO SOCORRO;ARAÇATUBA;Campina Grande do Sul;PR;83430000;41;35154099;;atendimento@planodesaudeangeli.com.br;PEDRO ERNESTO CARON;Presidente;5;29/07/2021
424366;00000000424366;AP ADMINISTRAÇÃO DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA;AP ADMINISTRAÇÃO DE BENEFICIOS SOCIEDADE SIMPLES LIMITADA;Administradora de Benefícios;Rua Sete de Abril;277.0;conjuntos 11 e 12;Centro;São Paulo;SP;1043000;11;33506000;;contato@apbeneficios.com.br;MIGUEL NOEL MEIRELLES;administrador;;24/03/2025
422932;00000000422932;APLUS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;AVENIDA PRESIDENTE VARGAS;534;SALA 1501;CENTRO;Rio de Janeiro;RJ;20071000;;;;contato@aplusadministradora.com.br;GABRIEL SILVA RODRIGUES;SOCIO ADMINISTRADOR/REPRE;;29/07/2021
421693;00000000421693;AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA;AQQUER ADMINISTRADORA;Administradora de Benefícios;Rua Barão de Melgaço;2754;Sala 406;Centro;Cuiabá;MT;78020800;65;36244416;;aqquer@aqquer.com.br;GABRIEL DUTRA;REPRESENTANTE LEGAL;;24/05/2019
416070;00000000416070;ARCELORMITTAL BRASIL S/A;ARCELORMITTAL BRASIL S/A;Autogestão;AV. CARANDAI;1115;;FUNCIONARIOS;Belo Horizonte;MG;30130915;27;33481463;;beneficios@arcelormittal.com.br;PATRICIA GARIGLIO DAHER RAYA;GERENTE DE BENEFICIOS;6;21/05/2007
422941;00000000422941;ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.;ARL ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;Rua Visconde de Taunay;601.0;;Bom Retiro;São Paulo;SP;1132000;11;32252193;;paralegalarl@gmail.com;ALVARO ANTÔNIO REGIS LEMOS;Presidente;2;11/08/2021
352152;00000000352152;ARM PLANOS ODONTOLÓGICOS LTDA.;ARM ODONTOLOGIA;Odontologia de Grupo;RUA LOEFGREEN ;1291;CONJUNTO 62;VILA CLEMENTINO;São Paulo;SP;4040031;11;35155400;35155400;alexandre@armodonto.onmicrosoft.com;ALEXANDRE DE SOUZA MARTINELLI;DIRETOR;4;21/12/1998
424340;00000000424340;ARTYODONTO BRASIL  PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA;ARTYODONTO BRASIL;Odontologia de Grupo;AVENIDA PEDRO PAES DE AZEVEDO;615;LOJA 03;GRAGERU;Aracaju;SE;49025570;79;991300040;;artyodontobrasil@artyodontobrasil.com.br;HÉLCIO CASTRO PEREIRA;DIRETOR ADMINISTRATIVO E FINANCEIRO;;17/02/2025
417769;00000000417769;ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA;ASSISTE ;Administradora de Benefícios;RUA JOÃO HIPÓLITO DE AZEVEDO;18;SALA 3 - TÉRREO;CENTRO;Conceição do Jacuípe;BA;44245000;71;30381100;;bruno@assisteadministradora.com.br;BRUNO EDELWEISS;SÓCIO-ADMINISTRADOR;5;20/12/2010
423912;00000000423912;ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA;;Medicina de Grupo;Rua Presidente Prudente;267;2º andar;Jardim São Paulo;Guarulhos;SP;7110140;11;49665132;;administrativo@12deoutubrosaude.com.br;GISELE ENCARNAÇÃO GUERRERO;Administradora;6;04/03/2024
325236;00000000325236;ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA;SÃO MIGUEL SAÚDE;Medicina de Grupo;RUA ÁLVARO CORREA BORGES;43;ED. GILBERTO MAIDA MELLACE;VILA DR. EIRAS;São Paulo;SP;8010200;;;;saomiguelsaude@uol.com.br;CARLOS ALBERTO FERNANDES MELLACI;DIRETOR;4;21/12/1998
365297;00000000365297;ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA;RISO PLANO ODONTOLOGICO;Odontologia de Grupo;AVENIDA UNIVERSIDADE;28;QUADRA 03;COHAFUMA;São Luís;MA;65070650;;;;planoriso@planoriso.com.br;MARCIA CHRISTINA VÉRAS BARBOSA;DIRETORA TÉCNICA;6;22/12/1998
423432;00000000423432;ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE;ADUFEPE SAÚDE;Autogestão;Rua Bom Pastor;430.0;Sala 11;Iputinga;Recife;PE;50670260;81;86903080;;adufepesaude@gmail.com;JOSÉ CRISTOVAM MARTINS VIEIRA ;presidente;;27/12/2022
409634;00000000409634;ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PRO-SAUDE;Medicina de Grupo;RUA SENADOR PINHEIRO MACHADO;446;;CENTRO;Ponta Grossa;PR;84040310;;;;administrador@prosaudeuepg.com.br;JEANE SILVANE ECKERT;REPRESENTANTE;6;05/11/1999
360783;00000000360783;ASSOCIACAO DE SAUDE HOLAMBRA;ASSOCIAÇÃO DE SAÚDE HOLAMBRA;Medicina de Grupo;ALAMEDA MAURÍCIO DE NASSAU;241;CX  POSTAL: 130;CENTRO;Holambra;SP;13825000;19;38022049;38022049;ash@holnet.com.br;MARGARETA MARIA WOPEREIS GROOT;PRESIDENTE;5;03/02/1999
317632;00000000317632;ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP;Autogestão;AV. BRIGADEIRO LUIZ ANTONIO;4843;;JARDIM PAULISTA;São Paulo;SP;1401002;;;;ans@afresp.org.br;ALEXANDRE LANIA GONCALVES;2ª TESOUREIRO;2;16/12/1998
343129;00000000343129;ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA;APUB SAÚDE;Autogestão;AV. ANTONIO CARLOS MAGALHAES;3213;EDIFÍCIO GOLDEN PLAZA,  SALA 405 a 408;PARQUE BELA VISTA;Salvador;BA;40280000;71;21039200;32473381;apubsaude@apubsaude.com.br;SILVIA MARIA LEITE DE ALMEIDA;PRESIDENTE DO CONSELHO DELIBERATIVO ;5;28/12/1998
420093;00000000420093;ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;ASSEM;Autogestão;AV DOUTOR CARLOS RODRIGUES DA CRUZ;401;;CAPUCHO;Aracaju;SE;49081015;79;32342692;32342692;assem@assemse.com.br;ELIAS FERNANDO GOES FELIPE;PRESIDENTE;6;14/04/2016
406635;00000000406635;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;APAS/ITAPETININGA;Autogestão;RUA DR. COUTINHO;535;;CENTRO;Itapetininga;SP;18200358;15;34721800;;contato@apasitapetininga.com.br;CARLOS ROGÉRIO DE MORAIS;REPRESENTANTE;5;21/07/1999
410608;00000000410608;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);APAS - PRESIDENTE PRUDENTE;Autogestão;RUA PIONEIRO JOSÉ LORENCETE;420;;JARDIM BONGIOVANI;Presidente Prudente;SP;19050350;;;;apas@apasprudente.com.br;PATRÍCIA ELAINE MACHADO;DIRETORA-PRESIDENTE;5;27/01/2000
417599;00000000417599;ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL;VERTE SAUDE - AFPERGS;Filantropia;RUA DOS ANDRADAS;846;;CENTRO;Porto Alegre;RS;90020006;51;32841500;;najara.bandeira@afpergs.com.br;ROMEU FUCHS;Diretor Presidente;4;28/09/2010
333867;00000000333867;ASSOCIAÇAO UNISAUDE MARAU;UNISAÚDE;Medicina de Grupo;AVENIDA JULIO BORELLA;1240;CONJUNTO 406;CENTRO;Marau;RS;99150000;54;33422179;33428002;gerencia@unisaudemarau.com.br;RUDIMAR LUIS RODEGHERO;DIRETOR GERAL;6;31/12/1998
406554;00000000406554;ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE;PROASA SAÚDE;Filantropia;RODOVIA MARIO COVAS;400;;COQUEIRO;Ananindeua;PA;67110000;91;32144500;32451585;clairton@hab.org.br;JACKSON DOUGLAS DA SILVA FREIRE;GERENTE;5;21/07/1999
411752;00000000411752;ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE;CRUZ AZUL SAÚDE;Medicina de Grupo;RUA ALBUQUERQUE MARANHÃO;72;;CAMBUCI;São Paulo;SP;1540020;11;33885000;33885010;diretoria@maisazulsaude.com.br;EDGAR CUCCOLO;REPRESENTANTE JUNTO À ANS;4;21/07/2000
322326;00000000322326;ASSOCIAÇÃO BENEFICENTE CATÓLICA;HOSPITAL SANTA ISABEL;Filantropia;RUA FREI CORNELIO;200;;LAURINDO DE CASTRO;Ubá;MG;36500000;32;35391034;;planosaude@santaisabelsaude.com.br;FABIANO DOS SANTOS;PRESIDENTE;3;29/12/1998
304131;00000000304131;ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15);SAÚDE ABAS;Autogestão;RUA BARÃO DE JAGUARA;707;10º ANDAR / SALAS 101/104 - BLOCO MOZART;CENTRO;Campinas;SP;13015926;19;37335060;;falecom@abas15.org.br;EINSTEIN ROMERO DURÃES;REPRESENTANTE LEGAL;1;22/12/1998
382540;00000000382540;ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;APPAI;Medicina de Grupo;RUA SENADOR DANTAS;117;SLJ 211,212,213;CENTRO;Rio de Janeiro;RJ;20034900;21;31473242;25320563;appai@appai.org.br;JULIO CESAR DA COSTA;DIRETOR PRESIDENTE;4;19/01/1999
417947;00000000417947;ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO;SANTA CASA SAÚDE DE RIBEIRÃO PRETO;Medicina de Grupo;AVENIDA MEIRA JUNIOR;585;;CAMPOS ELISEOS;Ribeirão Preto;SP;14085230;;;;regulacao@santacasasauderp.com.br;FERNANDO DE TORO DIAZ;PRESIDENTE DO CONSELHO DE ADMINISTRAÇÃO;5;31/03/2011
417955;00000000417955;ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ;JUDICEMED;Autogestão;RUA ALBERTO FOLLONI;543;;AHÚ;Curitiba;PR;80540000;41;30171600;30171601;JUDICEMED@JUDICEMED.COM.BR;MARCEL FERREIRA DOS SANTOS;REPRESENTANTE LEGAL;3;31/03/2011
416690;00000000416690;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS;AMAGIS SAÚDE;Autogestão;RUA ALBITA;194;6º ANDAR;BAIRRO CRUZEIRO;Belo Horizonte;MG;30310160;31;30793479;32233683;saude@amagis.com.br;FLÁVIA BIRCHAL DE MOURA;Vice-Presidente de Saúde;3;30/06/2008
416568;00000000416568;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA;COPASS SAÚDE;Autogestão;RUA CARANGOLA;531;;SANTO ANTôNIO;Belo Horizonte;MG;30330240;31;32985820;32985801;copass@copass-saude.com.br;OMAR DE CARVALHO GOMES FILHO;REPRESENTANTE E SUPER EXECUTIV;4;18/02/2008
314218;00000000314218;ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;;Filantropia;RUA AMÉRICO VENTURA;123;;ALTO DA MOOCA;São Paulo;SP;3128010;11;20297200;;saocristovao@saocristovao.com.br;VALDIR PEREIRA VENTURA;PRESIDENTE CONS. DELIBERATIVO;4;21/12/1998
422321;00000000422321;ASSOCIAÇÃO DE SAÚDE DO VALE;LEVMED SAÚDE;Medicina de Grupo;RUA EPITÁCIO PESSOA;651;;CENTRO;Jaraguá do Sul;SC;89251100;47;35124100;;contato@levmed.com.br;CARLOS CESAR FELIPONI;DIRETOR EXECUTIVO;5;14/07/2020
